Åbylundskyrkan Scout;Krusenhofsvägen 11, Åby;156.1;58.659;16.176
Equmenia Hässelby;Åbroddsvägen 47, Hässelby;156.2;59.377;17.82
Krokek scoutkår FA;Nyköpingsvägen 511, Kolmården;156.5;58.686;16.34
Equmenia ungdom i Missionskyrkan Södertälje;Karlslundsgatan 2, Södertälje;156.5;59.199;17.615
Kvillinge scoutkår;Karlsrovägen 20, Åby;156.6;58.65;16.148
Stigtomta-Nyköping Scoutkår;Oxelvägen 7, Stigtomta;156.8;58.798;16.788
Barkarby-Skälby scoutkår;Brasvägen 3, Järfälla;156.8;59.397;17.851
Scoutkåren Frälsningsarmén Södertälje;Oxbacksgatan 25, Södertälje;156.9;59.197;17.621
Roverscoutkåren Hügglo;;157.0;59.504;17.947
Hässelby strands sjöscoutkår;Hässelby strandväg, Hässelby;157.0;59.363;17.821
Sollentuna Norra;Kistavägen 11, Sollentuna;157.4;59.455;17.915
St Mina scoutkår;Nyköpingsvägen 24, Södertälje;157.5;59.191;17.625
Krokeks Scoutkår;Syrénvägen 35, Kolmården;157.5;58.682;16.37
Bollstanäs scoutkår;Gamla vägen 23, Upplands Väsby;157.5;59.494;17.95
Mariekäll Scoutkår;Linnégatan 5, Södertälje;157.6;59.186;17.62
Krokeks scoutkår;Syrenvägen 35, Kolmården;157.6;58.681;16.371
equmenia Arvika;Skolgatan 22, Arvika;157.7;59.656;12.596
Vinsta Scoutkår;Olof Jönssonsgränd 6, Stockholm;158.1;59.368;17.849
Telge EFS;Grödingevägen 19, Södertälje;158.2;59.19;17.639
Töreboda scoutkår;Krusebackens Scoutstuga, Töreboda;158.7;58.707;14.125
SMU i Töreboda;Storgatan 11, Töreboda;158.8;58.706;14.124
Vällingby scoutkår;Ångermannagatan 187, Vällingby;159.4;59.366;17.872
Norra Järva scoutkår;Husby Gård, Kista;159.9;59.406;17.92
Spånga scoutkår;Tornbacken 11A, Spånga;159.9;59.379;17.896
S:t Eriks Scoutkår;Strandvägen 80, Sollentuna;160.0;59.439;17.953
Mäster Olof-Råcksta, scoutkår;Multrågatan 88, Vällingby;160.3;59.358;17.883
Östra Eneby-Haga scoutkår;Slottet, Mässingsgatan 11, Norrköping;160.5;58.613;16.142
Ekens scoutkår;Scoutlokalen Skolgårda skola, Vagngatan, Motala;160.8;58.555;15.069
Vallentuna Scoutkår av NSF;Galgbacksvägen 4, Vallentuna;160.8;59.544;18.048
Järna scoutkår;Ljungstigen 13, Järna;160.8;59.094;17.554
Vida Scouter;Skolmästaregatan 13, Norrköping;161.0;58.609;16.146
Blackebergs sjöscoutkår;Holbergsgatan 4, Bromma;161.4;59.345;17.89
Team Aktiv Scoutkår;;161.7;59.399;17.95
Bollnäs scoutkår;Hedgatan 37, Bollnäs;161.9;61.352;16.373
Motala scoutkår;Bondebacka, Motala;162.0;58.545;15.046
Träkvista Sjöscoutkår;Bryggavägen 129, Ekerö;162.1;59.281;17.835
Skärblacka scoutkår;Vickelby gamla prästgård, Skärblacka;162.2;58.57;15.937
Mälarscouterna;Tegnebyvägen 16A, Bromma;162.5;59.343;17.911
SMU i Motala;Östermalmsgatan 21, Motala;162.7;58.539;15.047
Sollentuna Södra Scoutkår;Skogstorpsvägen 372, Sollentuna;162.9;59.409;17.981
Equmenia Rönninge;Söderbyvägen 12, Rönninge;162.9;59.198;17.75
KFUM Norrköping Scout;Matteusgården, Norra Promenaden 108 (, Norrköping;163.0;58.594;16.172
SMU på Värmlandsnäs;V:a Uggelsäter, Holmen, Säffle;163.1;59.116;13.016
Täby kyrkby;Jarlabankesbro 5, ;163.3;59.499;18.063
Scoutkåren Frälsningsarmén Norrköping;Vattengatan 5, Norrköping;163.3;58.592;16.18
Lindö scoutkår;Aborreberg, Norrköping;163.4;58.607;16.275
Vallentuna scoutkår;Parkvägen, Vallentuna;163.5;59.535;18.093
